Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Firmino (F)LIV,5,79,2.8,1.4,2.6,0.2,1.2,0.8,0.0,0.2,0.2,0.0,0.2,14,1.2,0.8,0.0,1.2,0.0,0,0.5,0.5,0.15,2.43,5.9,26,8.1,2.8,0.0,7.2,12.0,47.0,17.24,14.52,32.4,26.4,81,23.6,17.6,75,12.8,9.6,75,0.4,0.2,48.0,5.4,4.0,0.2,3.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,,2.1,11.0,8.2,5.2,2.6,1.2,3.8,0.6,0.6,100,3.2,0.2,0.0,0.8,1.0,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Firmino ,F,LIV
Wilson (F)NEW,5 (1),64,2.4,1.2,2.0,0.4,0.8,0.8,0.0,0.6,0.4,0.2,0.2,42,0.8,0.8,0.4,0.0,0.0,0,0.51,0.36,0.11,2.37,4.55,35,7.4,5.6,0.6,1.0,19.0,36.8,10.02,25.0,10.2,7.6,75,8.4,6.0,71,5.2,3.4,65,0.0,0.0,20.0,4.4,1.0,0.0,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,,0.78,8.4,5.4,2.4,2.0,0.2,0.8,0.2,0.0,0,1.2,0.6,0.0,0.0,0.6,0.2,1.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,Wilson ,F,NEW
Solanke (F)BOU,5,80,2.6,1.0,2.0,0.6,0.4,0.2,0.0,0.2,0.2,0.0,0.0,25,0.4,0.2,0.2,0.2,0.0,0,0.25,0.25,0.09,1.27,3.98,23,5.8,3.2,0.0,3.4,10.0,34.0,5.42,14.08,14.4,9.6,67,9.4,5.4,57,6.2,3.0,48,0.0,0.0,31.6,4.2,1.0,0.4,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,,1.55,17.0,11.4,4.2,5.0,1.2,1.6,0.2,0.0,0,2.8,2.0,0.2,0.0,2.2,1.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,Solanke ,F,BOU
Wood (F)NEW,5 (4),26,0.4,0.2,0.4,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,8,0.2,0.2,0.0,0.0,0.0,0,0.09,0.09,0.02,0.42,2.14,6,5.6,2.4,0.4,4.4,9.2,5.0,2.66,8.76,6.6,4.6,70,5.2,3.4,65,3.2,2.0,63,0.0,0.0,9.8,0.8,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,,0.78,8.4,5.4,2.4,2.0,0.2,0.8,0.4,0.4,100,1.4,0.2,0.2,0.0,0.4,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wood ,F,NEW
Vardy (F)LEI,5 (3),41,0.4,0.4,0.4,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,20,0.4,0.2,0.2,0.0,0.0,0,0.13,0.13,0.03,0.61,2.66,11,9.1,3.2,0.4,3.0,9.6,9.6,4.7,12.8,7.4,3.8,51,6.0,3.0,50,5.4,2.4,44,0.0,0.0,12.0,1.8,0.6,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,,1.23,16.0,10.4,4.2,4.6,1.2,1.0,0.2,0.0,0,1.2,1.2,0.0,0.0,1.2,1.2,0.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,Vardy ,F,LEI
Ings (F)AVL,5 (1),68,2.0,1.4,2.0,0.0,0.6,0.6,0.0,0.8,0.8,0.0,0.0,44,1.2,0.6,0.0,0.2,0.0,0,0.55,0.24,0.13,2.56,5.55,47,6.6,6.0,1.2,5.8,25.0,39.0,13.6,34.0,12.6,9.2,73,8.8,5.8,66,5.0,3.4,68,0.2,0.0,22.4,4.0,1.2,0.2,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,1.4,,1.91,13.0,9.0,4.6,3.2,0.4,3.0,0.8,0.6,75,1.4,1.0,0.0,0.2,1.2,0.4,0.6,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,Ings ,F,AVL
Kane (F)TOT,5,90,3.4,1.6,2.8,0.6,1.6,1.0,0.4,0.6,0.6,0.0,0.2,44,1.6,1.0,0.2,1.2,0.0,0,0.6,0.6,0.32,3.36,6.45,46,11.6,6.0,1.2,3.4,19.6,55.0,19.46,26.96,21.4,14.8,69,19.4,11.8,61,13.4,8.2,61,0.2,0.2,39.0,5.6,4.6,0.8,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,,1.77,14.4,8.6,6.0,1.6,0.8,2.2,0.0,0.0,0,2.4,0.2,0.2,0.2,0.6,0.8,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Kane ,F,TOT
Adams (F)SOU,5 (1),70,2.4,1.0,2.2,0.2,1.0,0.8,0.2,0.4,0.4,0.0,0.4,50,0.8,0.8,0.0,0.2,0.0,0,0.42,0.42,0.18,2.22,5.08,43,6.4,3.8,0.4,3.6,13.2,34.0,11.8,17.44,18.0,14.0,78,14.2,11.0,77,9.0,7.4,82,0.2,0.2,29.6,4.0,1.2,0.0,0.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,,1.56,12.2,7.8,4.0,3.0,0.2,2.6,0.8,0.6,75,1.2,0.4,0.0,0.4,0.8,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,Adams ,F,SOU
Maupay (F)EVE,5 (4),27,0.6,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0,0.06,0.06,0.04,0.34,2.25,9,6.1,1.2,0.0,2.2,2.2,14.6,3.18,0.88,5.6,4.2,75,3.4,2.2,65,2.2,1.6,73,0.0,0.0,11.0,2.4,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,1.65,17.4,12.0,5.8,3.8,0.8,1.6,0.2,0.0,0,0.6,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maupay ,F,EVE
Broja (F)CHE,5 (3),36,0.4,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,50,0.2,0.2,0.2,0.0,0.0,0,0.1,0.1,0.02,0.46,2.57,12,5.3,2.0,0.0,1.4,3.2,7.4,3.4,2.88,7.0,4.8,69,5.6,3.4,61,4.0,2.4,60,0.0,0.0,16.4,2.0,0.2,0.4,0.6,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,,1.66,12.8,9.2,5.0,2.8,0.6,2.4,0.4,0.2,50,1.8,0.2,0.2,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,Broja ,F,CHE
