Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Iwobi (M)EVE,5,86,1.0,0.2,0.4,0.6,0.2,0.2,0.8,0.0,0.0,0.0,0.0,67,1.8,0.2,0.4,1.4,0.4,29,0.1,0.1,0.38,1.66,4.42,44,5.6,4.2,0.6,12.0,15.6,10.4,25.76,16.76,37.2,31.6,85,27.0,21.6,80,17.0,14.0,82,0.4,0.2,51.0,1.8,6.0,0.0,2.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,,1.65,17.4,12.0,5.8,3.8,0.8,1.6,1.8,1.0,56,4.2,0.2,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iwobi ,M,EVE
Willock (M)NEW,5 (1),69,1.6,0.4,1.2,0.4,0.4,0.2,0.4,0.4,0.4,0.0,0.0,17,0.8,0.2,0.0,1.2,0.4,33,0.14,0.14,0.21,1.36,4.06,20,4.9,5.2,0.8,8.8,16.0,17.6,12.44,19.44,23.2,18.8,81,16.6,12.0,72,10.8,7.6,70,0.2,0.0,37.0,3.4,3.6,0.0,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,,0.78,8.4,5.4,2.4,2.0,0.2,0.8,2.0,1.4,70,5.2,0.2,0.0,0.8,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Willock ,M,NEW
Cook (M)BOU,5,90,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,12,2.2,0.0,0.2,3.4,1.8,53,0.0,0.0,0.15,0.48,2.81,11,4.9,2.4,0.0,14.6,16.4,1.8,31.96,20.2,40.2,32.8,82,23.4,17.2,74,12.0,8.0,67,0.2,0.0,53.8,0.8,5.8,0.0,4.2,0.0,0.8,1.2,2.4,1.2,1.2,0.4,0.2,0.0,0.0,0.0,0.0,0.2,2.0,,1.55,17.0,11.4,4.2,5.0,1.2,1.6,1.4,0.8,57,9.0,1.2,1.0,1.4,3.6,1.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Cook ,M,BOU
Lerma (M)BOU,5,90,0.8,0.2,0.4,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0,0.8,0.0,0.0,0.0,0.0,0,0.05,0.05,0.12,0.61,2.86,12,4.8,1.8,0.0,8.8,8.8,10.4,10.84,10.36,45.0,35.2,78,23.2,15.8,68,13.6,7.6,56,0.2,0.0,56.4,1.6,4.8,0.2,2.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,,1.55,17.0,11.4,4.2,5.0,1.2,1.6,1.4,0.8,57,7.6,1.8,0.4,0.4,2.6,1.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,Lerma ,M,BOU
March (M)BHA,5,90,1.2,0.4,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,11,1.4,0.2,0.2,5.4,0.8,15,0.16,0.16,0.1,1.1,3.9,15,5,2.8,0.0,9.8,11.6,25.2,21.8,14.52,36.2,30.2,83,31.0,21.4,69,18.8,14.6,78,0.0,0.0,59.4,3.8,2.8,1.0,6.6,0.0,1.6,3.6,3.4,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,1.6,,1.27,8.8,6.4,3.6,1.6,0.4,1.4,1.2,0.8,67,3.2,1.2,0.0,1.0,2.2,0.4,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,March ,M,BHA
Groß (M)BHA,5,88,1.2,0.8,1.0,0.2,0.0,0.4,0.2,0.4,0.4,0.0,0.0,22,1.4,0.4,0.0,4.6,1.0,22,0.25,0.25,0.16,1.74,4.13,24,5.6,4.2,0.4,8.6,15.8,17.8,22.04,22.28,40.2,32.4,81,30.0,21.0,70,16.8,12.2,73,0.0,0.0,57.2,2.6,5.6,0.0,6.4,0.0,1.2,3.2,3.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,,1.27,8.8,6.4,3.6,1.6,0.4,1.4,1.6,1.0,63,2.0,0.0,0.2,0.2,0.4,0.4,0.4,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,Groß ,M,BHA
Bissouma (M)TOT,5 (1),67,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.04,2.29,0,4.7,1.6,0.0,10.2,10.2,2.4,2.16,5.08,41.8,38.8,93,18.4,16.2,88,7.0,6.2,89,0.0,0.0,50.4,0.2,2.6,0.2,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,1.77,14.4,8.6,6.0,1.6,0.8,2.2,1.0,0.6,60,4.8,0.2,0.2,0.6,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bissouma ,M,TOT
McNeil (M)EVE,5 (3),37,0.6,0.2,0.2,0.4,0.0,0.2,0.0,0.2,0.2,0.0,0.0,33,0.4,0.2,0.0,2.2,0.4,18,0.1,0.1,0.03,0.58,2.62,12,5.2,2.4,0.0,5.4,9.0,7.8,7.7,10.72,14.0,11.8,84,11.4,8.0,70,4.8,3.8,79,0.0,0.0,22.4,0.8,1.0,0.2,2.0,0.0,0.0,0.6,0.8,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,1.65,17.4,12.0,5.8,3.8,0.8,1.6,1.2,0.6,50,1.6,0.6,0.0,0.2,0.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McNeil ,M,EVE
Willian (M)FUL,5,84,2.2,1.4,1.6,0.6,0.0,0.6,0.2,0.2,0.2,0.0,0.0,12,2.4,0.6,0.0,1.6,0.4,25,0.41,0.41,0.22,2.71,5.57,32,5.5,4.0,0.6,13.2,16.8,30.4,31.86,18.4,33.6,28.6,85,26.4,20.6,78,17.0,13.2,78,0.4,0.2,48.0,4.2,2.6,0.2,3.4,0.0,0.4,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,,2.16,13.0,9.8,5.8,2.4,1.4,3.4,0.8,0.4,50,5.4,0.2,0.0,0.4,0.6,1.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,Willian ,M,FUL
Loftus-Cheek (M)CHE,5,68,0.8,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.0,0.0,1.4,0.2,14,0.04,0.04,0.03,0.3,2.73,8,5,1.8,0.0,7.8,7.8,8.0,8.48,5.36,32.8,28.6,87,22.2,18.6,84,10.8,9.0,83,0.0,0.0,45.0,1.6,3.2,0.4,1.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,,1.66,12.8,9.2,5.0,2.8,0.6,2.4,0.6,0.2,33,4.6,0.8,0.0,0.6,1.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Loftus-Cheek ,M,CHE
