Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Lallana (M)BHA,4,45,0.5,0.25,0.5,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,22,0.5,0.25,0.25,0.25,0.25,100,0.12,0.12,0.03,0.68,2.78,9,4.9,4.25,0.75,4.75,11.5,7.25,7.5,14.1,12.5,11.0,88,6.75,6.0,89,4.25,3.75,88,0.0,0.0,16.5,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,,1.58,10.25,7.25,4.5,1.75,0.5,1.75,0.5,0.0,0,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lallana ,M,BHA
Salah (M)LIV,4,89,4.5,2.5,3.5,1.0,0.5,1.25,0.25,0.75,0.75,0.0,0.0,50,0.5,1.25,0.0,0.0,0.0,0,0.82,0.82,0.27,4.89,7.68,44,12.8,6.5,0.75,2.25,15.75,72.25,8.65,31.5,25.25,17.75,70,19.25,12.25,64,13.5,7.75,57,0.25,0.0,44.25,9.5,2.5,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,,2.04,11.75,8.5,5.75,2.75,1.5,3.5,0.5,0.25,50,2.25,0.25,0.0,0.0,0.25,1.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Salah ,M,LIV
Fabinho (M)LIV,4,82,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.02,0.07,2.77,1,5.3,2.0,0.0,13.0,13.0,1.0,9.22,12.95,64.0,57.0,89,32.5,27.75,85,11.0,8.0,73,0.0,0.0,74.0,0.25,7.25,0.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.04,11.75,8.5,5.75,2.75,1.5,3.5,2.25,0.5,22,7.0,0.75,0.5,1.25,2.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabinho ,M,LIV
De Bruyne (M)MCI,4,90,2.75,1.25,0.5,2.25,0.0,0.0,0.5,0.5,0.0,0.5,0.0,43,3.5,0.0,0.25,11.0,3.5,32,0.22,0.22,0.38,2.24,5.09,32,12.6,7.25,1.75,14.0,25.25,31.75,60.4,35.9,47.0,36.5,78,49.5,32.0,65,29.75,20.5,69,1.5,0.5,75.75,5.25,5.0,0.25,16.75,0.25,1.75,3.25,3.75,0.75,0.75,0.5,0.5,0.25,0.0,0.0,0.0,0.25,1.0,,1.5,8.0,6.0,4.25,1.25,0.75,2.25,2.25,0.75,33,5.25,0.25,0.25,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,De Bruyne ,M,MCI
Bernardo (M)MCI,4,90,0.75,0.25,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,29,1.5,0.0,0.5,3.5,0.75,21,0.08,0.08,0.19,0.95,3.5,15,6.9,3.75,0.25,12.75,17.25,21.25,24.58,16.25,53.0,46.75,88,38.0,29.5,78,23.25,18.5,80,0.0,0.0,70.5,4.5,3.75,0.25,5.0,0.25,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,,1.5,8.0,6.0,4.25,1.25,0.75,2.25,1.25,0.75,60,4.5,0.5,0.0,0.75,1.25,0.75,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Bernardo ,M,MCI
Foden (M)MCI,4 (3),39,1.75,0.5,1.0,0.75,0.25,0.0,0.0,0.25,0.25,0.0,0.0,14,0.75,0.0,0.0,3.25,0.5,15,0.12,0.12,0.09,0.86,2.77,11,8.3,3.0,0.5,4.25,8.75,27.75,13.02,12.35,22.75,19.0,84,21.0,15.0,71,12.0,9.75,81,0.0,0.0,32.0,4.0,0.75,0.0,3.25,0.0,0.25,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1.5,8.0,6.0,4.25,1.25,0.75,2.25,0.0,0.0,0,2.25,0.5,0.0,0.0,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Foden ,M,MCI
Lingard (M)NFO,4 (1),53,1.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,0.0,0.0,0,0.05,0.05,0.02,0.32,2.44,5,5.4,2.0,0.0,4.25,4.25,8.0,3.15,2.2,11.75,6.75,57,7.5,3.5,47,4.75,2.0,42,0.0,0.0,19.75,1.0,1.75,0.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,,2.0,13.25,11.0,4.75,3.5,1.0,3.0,0.5,0.5,100,2.5,0.75,0.0,0.25,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Lingard ,M,NFO
Rashford (M)MUN,4,87,2.5,1.5,2.25,0.25,0.5,0.75,0.0,0.25,0.25,0.0,0.25,20,0.25,0.75,0.0,1.0,0.25,25,0.5,0.5,0.12,2.86,5.56,33,6.7,3.75,0.0,3.75,8.25,49.0,7.45,14.4,25.25,19.5,77,18.75,14.25,76,12.25,8.5,69,0.0,0.0,40.75,5.75,1.5,0.25,1.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,,1.36,9.75,5.25,4.5,1.5,0.25,1.5,0.0,0.0,0,3.5,0.25,0.25,0.25,0.75,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,Rashford ,M,MUN
Andreas (M)FUL,4,86,0.75,0.5,0.5,0.25,0.0,0.5,0.5,0.25,0.25,0.0,0.0,60,3.0,0.5,0.5,8.0,2.75,34,0.3,0.12,0.31,2.45,4.94,35,4.6,5.25,0.5,7.5,16.5,11.25,43.62,26.0,24.5,16.25,66,25.0,14.25,57,11.0,7.0,64,0.0,0.0,44.25,1.75,3.25,0.0,9.5,0.0,0.75,5.0,5.0,0.75,0.75,0.5,0.0,0.0,0.25,0.25,0.0,0.25,1.25,,2.41,13.25,10.0,5.75,2.25,1.0,4.25,0.25,0.0,0,4.0,0.0,0.25,0.5,0.75,1.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Andreas ,M,FUL
Murphy (M)NEW,4 (3),25,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5,0.0,0.25,0.75,0.5,67,0.02,0.02,0.04,0.19,2.14,3,4.3,2.25,0.0,3.75,6.0,8.0,7.88,5.95,6.75,4.0,59,5.5,3.5,64,3.25,1.75,54,0.0,0.0,11.25,1.75,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,,0.96,10.25,6.5,3.0,2.25,0.25,1.0,0.5,0.25,50,1.5,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Murphy ,M,NEW
