Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Traoré (M)WOL,2,89,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,50,0.5,0.0,0.5,0.5,0.0,0,0.0,0.0,0.21,0.64,2.72,19,4.5,3.0,0.0,5.5,10.0,1.5,6.65,13.7,19.0,16.5,87,14.5,11.5,79,7.5,7.0,93,0.0,0.0,28.0,0.5,3.5,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,1.75,16.5,11.5,6.0,4.0,0.5,2.0,2.0,0.5,25,2.5,0.0,0.0,1.5,1.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Traoré ,M,WOL
Elneny (M)ARS,2 (2),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.8,0,4.2,1.0,0.0,3.0,3.0,0.0,0.75,0.0,2.0,1.5,75,1.5,1.0,67,1.5,1.0,67,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.38,8.0,5.0,1.5,0.5,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elneny ,M,ARS
Xhaka (M)ARS,2,53,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.02,0.02,0.02,0.18,2.62,4,5.1,2.0,0.0,9.5,9.5,11.0,2.4,10.2,22.5,17.5,78,14.5,11.0,76,12.0,9.5,79,0.0,0.0,32.0,1.5,4.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.38,8.0,5.0,1.5,0.5,0.0,0.0,2.0,2.0,100,3.0,1.0,0.5,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Xhaka ,M,ARS
Gordon (M)EVE,2 (2),17,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.5,50,0.02,0.02,0.06,0.26,1.82,7,5.3,1.0,0.0,4.0,4.0,9.0,12.9,4.9,8.0,6.0,75,6.5,4.5,69,3.5,2.5,71,0.0,0.0,11.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,2.46,19.0,13.5,8.5,3.5,0.5,3.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gordon ,M,EVE
Soucek (M)WHU,2,69,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.02,2.63,1,5.2,2.0,0.0,7.5,7.5,1.5,0.55,9.0,28.0,20.5,73,13.0,7.0,54,3.5,2.0,57,0.0,0.0,38.0,0.5,2.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.64,12.0,6.0,6.0,0.0,0.0,1.5,2.0,1.0,50,4.5,1.0,0.5,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soucek ,M,WHU
Podence (M)WOL,2 (1),33,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.5,0.0,0.5,0.5,0.0,0,0.09,0.09,0.04,0.58,2.14,12,5.3,2.5,0.0,3.0,7.5,12.5,5.95,2.7,9.0,6.5,72,7.5,4.5,60,5.5,3.0,55,0.5,0.0,14.0,2.0,0.5,0.0,2.5,0.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.75,16.5,11.5,6.0,4.0,0.5,2.0,0.5,0.5,100,1.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Podence ,M,WOL
Bowen (M)WHU,2,90,2.0,0.5,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,4.5,1.0,22,0.12,0.12,0.11,0.94,3.52,32,8,2.0,0.0,5.0,5.0,27.5,23.1,6.5,22.5,16.5,73,20.0,11.5,57,9.5,5.5,58,0.5,0.0,41.5,4.0,4.5,0.0,5.0,0.0,0.5,2.5,2.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.64,12.0,6.0,6.0,0.0,0.0,1.5,0.5,0.5,100,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bowen ,M,WHU
Mac Allister (M)BHA,2,90,3.0,1.5,0.5,2.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,25,1.0,0.5,0.0,2.0,1.0,50,0.36,0.36,0.26,2.6,5.47,40,5.4,5.5,1.0,15.5,24.5,17.0,20.25,27.2,63.0,60.5,96,32.5,30.0,92,14.5,13.5,93,0.0,0.0,80.5,0.5,5.0,0.5,3.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,,1.4,8.0,5.5,3.5,1.0,0.5,1.5,2.5,2.0,80,7.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Mac Allister ,M,BHA
Eze (M)CRY,2,84,2.5,0.5,1.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,50,1.0,0.0,0.5,1.5,0.5,33,0.11,0.11,0.27,1.36,4.28,35,5.7,4.0,0.5,11.0,15.5,22.5,17.45,11.7,34.5,30.5,88,27.0,23.0,85,15.5,12.5,81,0.0,0.0,50.5,5.0,3.0,0.5,2.5,0.0,1.0,2.5,1.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.52,7.0,5.0,2.0,1.0,2.0,0.5,1.0,0.5,50,6.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eze ,M,CRY
Rodrigo (M)LEE,2,85,3.0,1.5,2.5,0.5,0.5,1.5,0.0,1.5,1.5,0.0,0.0,43,0.0,1.5,0.0,0.5,0.0,0,0.84,0.46,0.08,4.43,7.3,46,6.3,10.0,0.5,5.0,32.0,36.5,3.2,53.3,23.5,18.0,77,12.0,8.5,71,8.0,5.5,69,0.0,0.0,35.0,4.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,3.5,,2.54,11.5,9.5,7.0,0.5,0.0,4.5,1.0,0.5,50,2.0,1.0,0.5,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Rodrigo ,M,LEE
