Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Undav (F)BHA,2 (2),19,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.1,0.1,0.04,0.52,2.19,9,5.1,1.0,0.0,2.5,2.5,18.5,0.55,1.6,3.0,2.0,67,3.0,2.0,67,2.5,1.5,60,0.0,0.0,5.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.4,8.0,5.5,3.5,1.0,0.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Undav ,F,BHA
Havertz (F)CHE,2 (1),40,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,1.0,0.0,0,0.09,0.09,0.04,0.5,2.76,40,7.7,1.5,0.0,5.5,5.5,13.5,6.75,4.4,11.5,8.0,70,10.0,6.5,65,5.0,3.5,70,0.0,0.0,22.0,2.5,0.5,0.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1.35,12.0,9.0,2.5,2.5,1.0,2.5,1.0,1.0,100,1.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Havertz ,F,CHE
Vinícius (F)FUL,2,83,1.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,1.0,0.0,0,0.2,0.2,0.1,1.1,4.48,21,5.5,2.0,0.0,3.5,3.5,37.0,7.7,5.8,13.0,5.5,42,9.5,3.0,32,6.5,2.5,38,0.5,0.5,25.0,3.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,3.06,15.0,11.0,7.0,3.0,1.0,5.5,0.0,0.0,0,0.5,1.5,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vinícius ,F,FUL
Gelhardt (F)LEE,2 (2),5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.02,0.02,0.02,0.15,1.58,2,5.1,0.5,0.0,1.0,1.0,10.0,0.2,1.2,2.5,1.5,60,2.5,1.5,60,1.5,1.0,67,0.0,0.0,6.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.54,11.5,9.5,7.0,0.5,0.0,4.5,1.0,0.5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Gelhardt ,F,LEE
Greenwood (F)LEE,2 (2),40,2.0,0.5,0.5,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,29,2.5,0.0,0.5,6.0,3.0,50,0.1,0.1,0.12,0.78,2.9,11,4.2,5.0,0.5,4.5,21.0,18.0,38.5,33.7,17.0,12.5,74,18.5,12.0,65,9.5,6.0,63,0.0,0.0,33.5,1.0,2.5,0.0,6.0,0.0,0.5,3.5,4.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,,2.54,11.5,9.5,7.0,0.5,0.0,4.5,1.0,0.5,50,4.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greenwood ,F,LEE
Mbeumo (F)BRE,2,77,2.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,25,1.5,0.5,0.0,2.0,0.5,25,0.48,0.1,0.3,2.78,5.1,35,5.8,3.5,0.5,4.5,16.5,27.5,20.2,23.5,19.0,13.5,71,13.0,8.0,62,8.0,6.0,75,0.5,0.5,35.5,4.0,1.5,0.0,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,1.98,22.0,13.0,6.5,3.5,0.5,2.0,1.5,0.5,33,5.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,Mbeumo ,F,BRE
Daka (F)LEI,2,69,2.5,1.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,25,1.5,0.5,0.5,0.5,0.0,0,0.33,0.33,0.12,1.65,4.54,21,5.7,3.5,0.0,4.5,9.0,29.0,17.6,11.1,13.0,10.0,77,9.0,6.5,72,4.0,3.0,75,0.5,0.5,20.5,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.16,15.0,11.5,4.0,5.0,1.0,1.0,0.0,0.0,0,1.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daka ,F,LEI
A.Armstrong (F)SOU,2 (1),42,2.0,1.0,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.5,0.0,0,0.16,0.16,0.08,0.86,2.92,14,5.5,1.0,0.0,3.0,3.0,17.0,11.2,4.5,10.0,8.5,85,7.5,5.5,73,5.5,4.0,73,0.0,0.0,15.5,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.28,11.0,9.0,5.5,4.5,0.5,4.5,0.0,0.0,0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Armstrong ,F,SOU
Moore (F)BOU,2,78,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,17,0.0,1.0,0.0,0.0,0.0,0,0.46,0.46,0.06,2.06,5.0,24,5.4,4.0,0.0,0.5,12.5,28.0,6.15,20.2,23.0,14.0,61,18.0,11.0,61,7.5,4.5,60,0.0,0.0,34.5,2.5,1.5,0.5,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,,1.44,16.5,11.5,3.5,5.0,1.5,1.5,0.0,0.0,0,1.0,2.0,0.0,0.0,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moore ,F,BOU
Welbeck (F)BHA,2 (1),42,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.08,0.08,0.01,0.34,1.92,5,6.5,1.0,0.0,1.0,1.0,6.5,0.55,3.7,4.5,4.0,89,3.0,2.5,83,1.5,1.5,100,0.0,0.0,13.0,1.5,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.4,8.0,5.5,3.5,1.0,0.5,1.5,0.5,0.5,100,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Welbeck ,F,BHA
