Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Leno (G)FUL,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.01,0,4.5,3.5,1.0,22.5,22.5,0.0,0.0,34.6,34.5,27.0,78,8.5,2.5,29,3.5,1.0,29,0.0,0.0,52.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,3.06,15.0,11.0,7.0,3.0,1.0,5.5,0.0,0.0,0,12.5,1.5,0.0,0.0,1.5,1.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leno ,G,FUL
Martínez (G)AVL,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.02,0.05,2.93,2,4.9,1.5,0.0,11.5,11.5,0.0,6.5,18.5,40.0,28.0,70,12.5,3.5,28,5.0,1.5,30,0.5,0.5,46.5,0.0,5.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.99,7.5,4.0,2.5,2.0,0.0,1.5,0.0,0.0,0,8.5,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Martínez ,G,AVL
Pope (G)NEW,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.73,0,5.3,4.0,0.0,13.0,19.0,0.0,0.0,18.8,20.0,11.0,55,10.0,2.0,20,5.0,0.5,10,0.0,0.0,34.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,0.98,10.5,6.5,3.5,2.5,0.5,1.0,0.0,0.0,0,9.5,1.5,0.0,0.0,1.5,0.5,1.0,3.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,Pope ,G,NEW
Guaita (G)CRY,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.52,0,4.5,2.0,0.0,11.5,11.5,0.0,0.0,12.9,29.5,24.0,81,5.5,2.5,45,1.5,0.5,33,0.0,0.0,38.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.52,7.0,5.0,2.0,1.0,2.0,0.5,0.0,0.0,0,8.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guaita ,G,CRY
Pickford (G)EVE,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.28,0,4.5,2.5,0.0,18.0,18.0,0.0,0.0,35.2,34.5,24.5,71,14.5,6.5,45,5.0,2.0,40,0.0,0.0,47.0,0.0,5.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,2.46,19.0,13.5,8.5,3.5,0.5,3.0,0.0,0.0,0,9.0,1.0,0.0,0.0,1.0,0.5,0.0,5.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Pickford ,G,EVE
Ward (G)LEI,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.2,0,4.1,8.5,1.5,18.0,30.0,0.0,0.0,33.4,34.5,23.0,67,14.5,3.0,21,2.0,0.5,25,0.0,0.0,51.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.16,15.0,11.5,4.0,5.0,1.0,1.0,0.0,0.0,0,9.5,3.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ward ,G,LEI
Alisson (G)LIV,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.24,0,5.5,3.0,0.0,20.0,20.0,0.0,0.0,38.0,36.0,26.5,74,10.5,3.0,29,2.0,0.5,25,0.0,0.0,49.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.96,11.5,10.0,5.0,5.0,1.5,3.5,0.0,0.0,0,10.5,2.5,0.0,0.0,2.5,1.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alisson ,G,LIV
Ederson (G)MCI,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.94,0,5.4,2.0,0.0,16.0,16.0,0.0,0.0,25.5,30.0,26.5,88,5.0,2.5,50,2.0,0.5,25,0.0,0.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,2.05,7.0,5.5,5.0,1.0,0.5,3.5,0.0,0.0,0,6.5,0.5,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ederson ,G,MCI
De Gea (G)MUN,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.84,0,4.9,2.5,0.0,14.5,14.5,0.0,0.0,28.3,25.0,21.0,84,3.5,1.0,29,0.5,0.0,0,0.0,0.0,36.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.44,10.0,6.5,5.5,1.5,0.5,1.5,0.0,0.0,0,6.0,0.5,0.0,0.0,0.5,0.5,0.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,De Gea ,G,MUN
Lloris (G)TOT,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.69,0,5.5,1.5,0.0,13.5,13.5,0.0,0.0,24.7,19.0,11.5,61,7.5,1.0,13,1.0,0.0,0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,1.9,12.5,8.0,5.5,1.5,1.5,3.0,0.0,0.0,0,5.5,1.0,0.0,0.0,1.0,1.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lloris ,G,TOT
